DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6001401         2        29         5         2         2         6         8         8        10        10         8         8        10         0         0        10         1         0         5         5         5         5         0
   6001441         2        43         3         2         2         6        10        10        10        10        10         6         5         3         3        10         2         2         1         5         5         1         1
   6001445         2        79         3         3         3         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         5         0
   6001449         2        62         3         3         3         6         9         9         9         9         9         9         9         1         1         9         2         2         5         5         5         5         0
   6001468         2        29         5         2         2         6         8         7         8         8         8         6         6         5         3         9         2         0         5         5         5         1         1
   6001519         2        64         3         2         2         6        10        10        10         9         9         9         9         1         1        10         1         0         5         5         5         5         0
   6001524         2        88         3         3         3         6        10        10        10         7         7         8         8         0         0         9         2         0         5         5         5         5         0
   6001576         2        90         3         3         3         6        10         9        10        10         9         9         9         2         1         9         1         2         5         5         5         5         0
   6001688         2        54         3         2         3         6         8         7         8         4         9         9         7         3         1        10         1         1         5         5         5         5         0
   6001690         2        81         3         3         3         6        10        10        10        10        10        10        10         0         0        10         2         2         5         5         5         5         0
   6001709         2        63         3         3         1         6        10         8         4        10         8         7        10         8         7         8         1         3         5         5         5         5         0
   6001728         2        49         3         3         3         6         8         5         8         7         9         9         5        10        10         8         1         1         5         5         5         5         0
   6001745         2        75         3         3         3         6        10         6        10         9         8        10         8         0         0        10         1         2         5         5         5         5         0
   6001746         2        80         3         3         3         6        10         5         7         7         2        10        10         4         0         8         1         0         5         5         5         5         0
   6001799         2        70         5         2         2         6        10        10         7        10         6        10        10        10         0        10         2         0         5         5         5         5         0
   6001820         2        43         3         2         2         5        10         5        10         4         4        10        10         0         0        10         1         0         1         1         1         1         1
   6001823         2        49         5         3         2         6         7         5         7         8         5         6         7         8         6         9         1         0         1         2         5         1         1
   6001824         2        61         3         3         2         6        10         1        10         7        10        10        10         0         0        10         1         0         5         5         5         5         0
   6001842         2        44         5         3         3         6         6         8         6         4         9        10        10         0         0         7         3         0         5         5         5         1         1
   6001851         2        52         3         2         2         6        10         5        10         7         5        10        10         0         0        10         2         0         1         1         1         1         0
   6001859         2        31         5         2         2         6         8         9        10        10        10         8         8         8         0        10         2         0         5         5         5         1         1
   6001864         2        39         5         2         2         6         8         7         8        10        10         4         5         5         0        10         1         0         5         1         5         1         1
   6001865         2        67         5         3         3         6         7         6         5         6        10         8         8         2         3        10         2         0         1         5         5         1         0
   6001870         2        75         3         3         3         6         9         9         8         9         9         8         7         7         4         8         1         0         2         5         5         2         1
   6001873         2        64         5         3         1         6         6         2        10         3         9         7         7         1         1         7         1         0         3         5         5         3         1
   6001874         2        59         3         3         3         6         6         5         4         7         7         4         2         1         1         7         2         0         2         2         5         2         1
   6001878         2        90         3         3         3         6        10         8         8         7         7        10         8         2         2         9         1         0         5         5         5         5         0
   6001890         2        89         3         3         3         6        10        10         5        10        10        10        10         0         0        10         1         1         5         5         5         5         0
