DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6009065         2        62         3         2         2         5        10         9         7         8         8         8         7         1         2        10         1         0         5         5         5         5         0
   6009132         2        37         5         3         3         6         8         3         9         8         4         8         8         0         6         8         1         0         5         5         5         5         0
   6009138         2        40         5         3         1         6         5         0         3         2         5        10         0        10         2        10         3         1         5         5         5         1         1
   6009223         2        23         5         2         2         6        10         5        10        10         5         5         5         0         5        10         1         0         5         2         5         2         0
   6009249         2        55         5         3         3         6         9         8        10        10         7        10        10         0         0        10         1         0         5         5         5         5         0
   6009251         2        29         5         2         2         6         7         6         9         5         7         7         7         3         0         8         1         0         2         1         5         2         0
   6009252         2        49         3         2         2         6         7         5         8         8         8         9         9         0         0        10         2         0         5         5         5         5         0
   6009356         2        44         5         2         2         5         8         5         8        10         7         6        10         0         0        10         1         2         5         5         5         5         0
   6009372         2        54         5         3         3         6         8         8         9        10        10        10        10         0         2         9         2         1         5         5         5         5         0
   6009393         2        29         5         2         2         1         9         8        10        10        10        10        10         0         0         9         1         0         5         2         5         2         1
   6009401         2        68         3         3         3         6         8         7         7         7         7        10         8         3         1         6         1         1         5         5         5         5         0
   6009427         2        64         3         3         2         6         8         3         8         6         7         9         8         2         0        10         1         1         5         5         5         5         0
   6009439         2        34         5         2         2         6         8         6         7         8         7         2         4        10         8         9         2         0         5         5         5         1         1
   6009481         2        79         3         3         3         6         8         8         8         8         8         7         7         5         5        10         1         0         5         5         5         5         0
   6009594         2        52         5         2         3         5         5         5         7        10         7         6         0        10         0         7         2         2         5         5         5         5         0
   6009604         2        55         5         2         2         6         9         9         9         9         8         9         9         0         0         9         2         0         5         5         5         2         0
   6009605         2        27         5         2         2         6         9         9         9         9         8         9         8         0         0         9         1         0         3         5         5         2         1
   6009607         2        23         5         2         2         6         9         9         9         9         8         9         9         0         0         9         1         0         2         5         5         2         1
   6009609         2        38         5         3         3         5         8         5         8        10         8         8         8         1         2         8         2         0         5         5         5         2         1
   6009615         2        54         5         3         3         6         9         8         8         8         8         8         7         2         2        10         1         0         1         1         5         1         1
   6009644         2        25         5         3         2         6        10         9        10        10        10        10        10         0         0        10         2         0         5         5         5         1         1
   6009699         2        80         3         3         3         6         8         3         8         7         7         7         6         7         3         9         2         0         5         5         5         5         0
   6009722         2        37         3         2         2         6         5         7        10        10         8         3         3         8         8         7         1         0         5         5         5         3         1
   6009723         2        32         5         3         2         6         5         5         7         9         3         5         0         8         0        10         2         0         5         5         5         1         1
   6009768         2        67         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         1         5         5         0
   6009792         2        64         3         3         3         6         7         8         7         7         7         8         7         3         3         7         1         0         5         5         5         5         0
   6009811         2        39         5         3         3         6         0         0         9         1         3         5         9        10         9        10         5         0         5         5         5         5         0
   6009812         2        34         5         3         2         6         8         6         5         8         8         9         8         2         0         8         2         0         5         5         5         2         1
   6009842         2        67         3         3         3         6        10         8         9         5         1         6         6         1         1         8         2         0         5         5         5         5         0
   6009844         2        45         3         2         3         6         8         8         5         8         8         6         8         8         0        10         1         1         5         5         5         1         1
   6009864         2        58         3         3         2         6         8         8         8         8         8         7         7         7         6         7         1         1         5         5         5         5         0
   6009878         2        45         5         3         1         6         5         5         9        10         8         7         7         3         5        10         1         0         1         5         5         1         1
   6009880         2        64         3         3         3         6         3         5         8         9         4         9         9         2         1         8         2         1         5         5         5         5         0
   6009942         2        27         5         2         2         6         8         6         8         5         8        10        10         0         0        10         1         0         1         1         5         1         1
   6009953         2        37         5         2         2         6        10         7         7         8         9        10         8         7         0        10         1         0         1         5         5         1         0
   6009955         2        91         3         3         3         6        10         7         0        10        10        10        10         5         8         4         1         1         5         5         5         5         0
   6009965         2        42         5         3         2         6         9         2         6         8         1         6         6         6         6         9         3         0         5         5         5         5         0
   6009967         2        49         5         3         3         6         9         2         6         9         3         5         4         7         7         8         2         0         5         5         5         5         0
   6009976         2        58         5         3         1         6         9         8         7         8         8         8         8         3         2         8         1         0         5         5         5         5         0
   6010046         2        67         3         3         3         6         9         6         8         8         8         8         8         2         1         8         2         0         5         5         5         1         1
   6010046         2        38         3         3         2         6         8         7         8         8         9         9         8         2         0        10         2         1         1         2         5         1         1
   6010116         2        28         5         2         1         6         7         8         6         7        10         0         0        10         3        10         1         0         5         5         5         1         1
   6010121         2        38         5         3         2         6         7         3         5         8         7         8         8         4         4        10         1         0         5         1         5         1         0
   6010198         2        52         5         2         2         6         9         8         9         9         8         9         9         0         0         9         1         0         2         5         5         1         1
   6010207         2        36         5         2         2         6         9         9         9         9         9         9         9         0         0         9         2         0         2         5         5         2         1
   6010218         2        43         5         2         2         5        10         7         7         6        10         5         6         7         6         8         2         0         5         1         5         2         1
   6010243         2        37         5         3         2         6         8         8        10        10         8         8        10         0         0        10         2         0         1         5         5         1         1
   6010300         2        68         3         3         2         5         8         6         4         6         8         9         9         1         0        10         2         2         5         5         5         5         0
   6010303         2        59         3         3         3         6        10         5         7         6        10         8         8         6         4        10         1         2         5         5         5         1         1
   6010305         2        86         3         3         3         6         6         6         1         6        10         7         7         7         3         6         2         1         5         5         5         5         0
   6010307         2        79         3         3         3         6        10         8         8         6         8         8         5         5         5        10         1         0         5         5         5         5         0
   6010345         2        36         5         2         2         6         7         5         6         5         7         5         6         6         5         5         2         0         5         5         5         5         0
   6010348         2        44         5         2         2         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         2         1
   6010349         2        36         5         2         2         3        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         1         1
   6010351         2        52         5         2         2         3         9         8         8         8         7         7         7         6         4         7         1         0         5         5         5         1         1
   6010356         2        33         5         2         2         6        10        10        10        10        10        10        10         0         0        10         2         0         1         5         5         2         1
   6010393         2        62         5         2         2         5         8         8         8         8         8         8         8         2         2        10         1         0         5         5         5         5         0
   6010427         2        50         3         2         2         5        10        10        10        10        10        10         3         2         1        10         1         0         1         5         5         5         0
   6010431         2        59         5         2         2         5         9         8         8         8         8         8         8         2         1         9         1         1         5         5         5         5         0
   6010443         2        65         3         3         3         6         8         8         8         5         8         9         9         8         8         9         1         0         2         5         5         2         1
   6010484         2        58         5         3         3         6        10         9        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6010514         2        75         3         3         3         6        10         7         9         9         9        10        10         0         7         8         1         0         5         5         5         5         0
   6010525         2        36         5         2         3         6         9         9         9         9         9         8         8         0         0         9         2         0         5         5         5         5         0
   6010533         2        50         5         2         3         6        10        10         6        10        10        10        10         0         0        10         1         0         5         5         5         1         1
   6010554         2        42         5         3         2         6         9         5         9         9         9         9         8         0         0         9         2         0         5         5         5         5         0
   6010562         2        87         3         3         3         6         6         7         8         8         7         8         5         3         2         7         2         0         5         5         5         5         0
   6010587         2        46         3         2         2         6         8         0         8         6         6         8         8         2         2        10         2         0         5         5         5         5         0
   6010601         2        41         5         3         2         6         7         4         9         8         7         7         3         4         2        10         5         0         3         3         5         1         1
   6010602         2        53         3         3         3         6        10        10        10        10        10        10         9         1         0        10         1         0         5         2         5         1         1
   6010603         2        34         5         3         2         6         7         4         9         7         4         7         6         3         1        10         2         0         4         5         5         2         1
   6010641         2        61         3         3         2         5         8         4         8         7         7         5         5         5         5        10         1         2         5         5         5         1         1
   6010653         2        53         3         2         2         6        10         7         8        10        10        10        10         0         0        10         2         0         5         5         5         5         0
   6010661         2        60         3         3         3         6         8         8        10         8         8         8         6         8         0        10         1         0         5         5         5         5         0
   6010705         2        59         3         3         3         6        10         9         8         8         7        10         9         0         0        10         1         2         5         5         5         5         0
   6010718         2        55         3         3         3         6         9         8         8         8         8        10        10         0         0        10         1         1         5         5         5         1         1
   6010837         2        30         5         2         2         6         7         7         8         7         8         7         5         9         3         8         2         0         5         1         1         1         1
   6010856         2        32         5         2         2         6        10         9         9         0         9        10         9         0         0        10         1         0         5         2         2         1         1
   6010874         2        68         3         3         2         6         5         3         3         8         9        10        10         2         0        10         1         0         2         2         5         1         1
   6010883         2        76         3         3         3         6        10        10         6        10        10        10        10         0         0        10         1         1         5         5         2         2         0
   6010885         2        70         3         3         3         6        10        10        10        10        10        10        10         0         0         2         1         1         5         3         5         1         1
   6010905         2        56         3         3         2         6         8         9         9         9         9         0         0        10        10        10         1         0         5         5         5         5         0
   6010912         2        58         3         3         3         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         1         1
   6010953         2        78         3         3         3         6        10         5        10        10        10        10        10         0         0        10         2         0         5         5         5         1         1
   6010959         2        71         3         3         3         6         9         6         4         8         7         7         8         2         3         8         2         0         5         5         5         5         0
   6010984         2        53         5         2         2         5        10         8        10         8        10        10        10         0         0        10         1         0         1         2         5         1         1
   6011040         2        68         3         3         3         6         9         9         9         8         8         8         9         1         2         9         2         2         5         5         5         5         0
   6011064         2        50         3         2         2         6        10         5        10        10        10        10        10         8         5        10         1         0         5         5         5         1         0
   6011096         2        54         3         3         3         1         8         7         7         9         7         8        10         6         0        10         1         0         2         2         5         1         1
   6011137         2        54         3         3         3         6         9         7         9        10         7         8         8         3         0         8         1         2         5         5         5         5         0
   6011186         2        83         3         3         3         6        10        10         8         8         8        10        10         0         3        10         2         1         5         5         5         5         0
   6011197         2        54         5         2         2         6         7         8         7         7         5         7         6         6         6         6         1         0         5         2         5         2         1
   6011202         2        58         5         2         2         6         7         7         6         6         6         7         7         5         4         8         1         0         5         5         5         5         0
   6011212         2        26         5         2         2         5         8         8         8         8         8         8         8         8         8        10         1         0         2         5         5         1         1
   6011232         2        34         5         3         2         6         8         6         5         7         7         8         8         2         2         9         2         0         1         5         5         1         0
   6011249         2        61         3         3         3         6         8         3         5        10         7         8         7         2         3         6         1         0         5         5         5         5         0
   6011255         2        40         5         2         2         6         2         2         4         8         4         2         2         8         8         9         3         1         5         5         5         5         0
   6011300         2        44         3         3         2         6         9         9         9         9         9        10        10         0         0         8         2         0         2         5         5         2         1
   6011357         2        35         5         2         2         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         5         0
   6011368         2        28         5         2         2         5         9         8         8         7        10         8         7         7         6        10         2         0         5         5         5         5         0
   6011369         2        32         5         2         2         6        10         8        10        10         6        10        10         0         0        10         1         0         5         5         5         1         1
   6011415         2        50         5         3         3         6        10         8        10        10        10         8         8         0         1        10         2         0         2         2         5         1         1
   6011417         2        31         5         2         2         6        10         8        10         9         6         9         8         2         1        10         2         0         5         5         5         2         0
   6011430         2        80         3         3         3         6         9         5         0        10         5         0         4         5         9        10         3         0         5         5         5         5         0
   6011493         2        67         3         3         1         6         7         7         7         7         7         7         7         1         1         9         1         0         5         5         5         1         1
   6011499         2        58         3         3         3         6         7         7         7         7         7         7         7         7         7         7         1         0         5         5         5         5         0
   6011513         2        62         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6011528         2        73         3         3         3         6         4         3         7         8         4         6         3         3         2         6         1         1         5         5         5         5         0
   6011530         2        36         5         2         2         1         6         3         5         6         7         9         9         2         1        10         1         0         5         5         5         5         0
   6011533         2        35         5         3         3         6         5         5         8         4         7         7         4         7         4         8         2         0         3         3         5         1         1
   6011559         2        55         3         3         3         6         8         5         4         7         9         0         0        10        10        10         1         0         5         5         5         5         0
   6011604         2        47         3         3         3         6         8         3         8         8         3         9         9         0         0         9         1         0         5         5         5         5         0
   6011607         2        45         5         3         2         6         7         6         9         8        10        10        10         0         0        10         2         0         5         5         5         5         0
   6011615         2        84         3         3         3         6        10        10         7        10        10         7         5         5         4        10         2         0         5         5         5         5         0
   6011629         2        83         3         3         3         6        10        10         5         3         2         8         9         0         0        10         1         1         5         5         5         5         0
   6011632         2        70         3         3         3         6         7         9         7         8         8         6         7         7         4         9         1         0         5         5         5         5         0
   6011634         2        29         5         2         2         6         9         8         9         9         9         9         9         0         0         9         1         0         2         5         5         1         1
   6011816         2        70         5         3         3         5         8         8         8         8         8         8         9         2         2         9         2         3         5         5         5         5         0
   6011849         2        30         5         2         2         6        10        10        10        10        10        10        10         0         0        10         3         0         5         5         5         2         1
   6011863         2        54         5         2         2         6         8         9         8         8         9         9         8         8         1         2         1         2         5         5         5         5         0
   6011866         2        53         5         2         2         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         2         1
   6011871         2        58         5         3         2         6         6         5         5         5         4         5         4         3         3         7         1         0         5         5         5         5         0
   6011886         2        36         5         2         2         3        10        10        10        10        10        10        10         0         0        10         1         0         1         5         5         1         0
   6011891         2        65         5         2         2         3         9         8         9         8         9         8         8         2         2         9         1         0         5         5         5         5         0
   6011894         2        64         3         3         3         6         8         4         6         3         8         8         8         0         0         8         1         2         5         2         5         1         0
   6011908         2        42         5         2         2         6         8         7         7        10         8         7         7         0         0        10         3         0         5         5         5         1         1
   6011916         2        90         3         3         3         6         8         4         7         6         3         6         7         7         8         7         1         0         5         5         5         5         0
   6011920         2        51         5         2         2         6        10        10        10        10        10        10        10         3         0        10         1         0         1         1         5         1         1
   6011924         2        38         5         2         2         6        10         9        10         5        10        10         8         1         0        10         2         0         5         5         5         1         1
   6011935         2        41         5         2         2         6         9         8         9         9         8         8         9         4         1         9         2         0         1         1         5         1         1
   6011939         2        29         5         1         2         6         9         9         8         5         8        10         8         0         0        10         1         0         5         5         5         5         0
   6011955         2        80         3         3         3         6        10        10        10        10        10        10         9         0         0        10         1         0         5         5         5         5         0
   6011964         2        34         5         2         2         6        10         0         5         5         5        10        10         5         0        10         2         0         1         1         5         1         1
   6011980         2        47         3         3         2         6        10        10        10         3        10        10        10         0         0        10         2         0         1         1         1         1         1
   6012005         2        50         3         3         2         6         8         7         8         7         8        10        10         0         0        10         2         0         5         5         5         1         1
   6012019         2        53         5         3         2         6         8         8         6         8         8         8         7         7         0         8         1         1         5         5         5         1         1
   6012040         2        66         5         3         2         6         8         7         9         4         8         9         8         1         0         9         1         0         5         5         5         1         1
   6012041         2        30         5         2         2         6         8         8         8         7         8         8         8         1         0         9         2         0         5         5         5         5         0
   6012045         2        79         3         3         3         6         7         8         7         8         7         4         8         3         2         7         2         1         5         5         5         5         0
   6012073         2        68         5         3         3         6         9         7         3         7        10        10        10         2         0        10         1         0         5         5         5         1         1
   6012076         2        82         3         3         3         6         9         8         7         6         9         8         8         1         1        10         1         1         5         5         5         5         0
   6012092         2        73         3         3         3         6         9         7         7         8         8         9         8         2         0         9         1         1         5         5         5         5         0
   6012100         2        45         5         3         3         6         7         6         8         5         7        10         9         9         0         8         2         0         5         1         5         1         1
   6012125         2        44         5         2         2         6         9         9         9         4         9         9         9         3         2        10         1         0         1         5         5         1         1
   6012130         2        54         3         3         2         6        10        10        10        10         9        10        10         9         8        10         2         0         5         5         5         1         1
   6012143         2        60         3         2         2         6         5         6         4         8         9         1         3         9         9         8         2         0         5         5         5         5         0
   6012154         2        37         5         2         1         6         7         7         9         5         7         7         5         8         2         8         1         0         5         5         5         5         0
   6012192         2        52         5         3         2         6        10         9        10         3         9         9         9         2         0        10         1         0         5         5         5         5         0
   6012209         2        28         5         2         2         6         5         7        10         0        10         5         8         5         9         9         1         0         1         5         5         1         0
   6012212         2        53         5         2         3         6         8         5         6         2         8         9         0         1         0        10         1         0         1         5         5         1         1
   6012233         2        72         3         2         2         6         8         8         9         8         8         8         8         1         1        10         1         2         5         5         5         5         0
   6012234         2        83         3         3         3         6         9         8         8         9         8         8         7         5         2         8         1         1         5         5         5         5         0
   6012273         2        30         5         2         2         6         8         8         9         8        10        10        10         0         0        10         1         0         1         5         5         1         1
   6012295         2        48         5         2         2         6         8         7        10         8        10         7         8         5         7        10         1         0         5         1         5         1         1
   6012323         2        32         5         2         2         6        10         5        10        10        10        10        10         0         0        10         1         0         1         5         5         1         1
   6012331         2        54         5         3         3         6        10         5         8        10         8         8         8         3         3         8         1         0         5         5         5         5         0
   6012332         2        47         5         2         2         6        10        10        10        10        10        10        10         2         0         9         1         0         5         5         5         5         0
   6012336         2        42         5         2         2         6        10        10        10        10        10        10        10         0         0        10         2         0         5         5         5         1         1
   6012338         2        50         5         2         2         6         7         3         3         8         3         5         5         8         8         6         2         0         5         5         5         5         0
   6012339         2        22         5         3         2         6        10         9        10         8         9         7         9         1         3        10         2         0         5         5         5         1         1
   6012446         2        54         3         3         2         6         3         0         5         3         0         3         4         6         4        10         2         1         5         5         5         1         1
   6012448         2        53         5         3         3         6         8         1         1         0         1         0         5         7         6        10         1         0         5         5         5         5         0
   6012456         2        46         5         2         2         6        10        10         8         5         8         9         9         1         0        10         3         1         5         5         5         1         1
   6012458         2        64         3         3         3         6         8         8         7         6         4         8         9         2         2         8         1         0         5         5         5         5         0
   6012460         2        30         5         2         2         6         8         7         9         8         6         9         9         0         5        10         2         0         5         5         5         1         1
   6012462         2        47         5         2         3         6        10        10         8         8        10         6         9         0         0        10         2         0         5         5         5         5         0
   6012466         2        50         5         2         3         6         6         1         6         6         0         0         0        10        10         8         1         0         5         5         5         1         1
   6012472         2        60         5         3         3         6         8         2         5         6         0         8         9         3         0         8         1         0         5         5         5         1         1
   6012480         2        54         5         2         2         6         8         5         7         6         4         6         7         5         2         7         1         0         5         5         5         5         0
   6012500         2        81         3         3         3         6         6         3         2         5         0         3         3         7         9         3         1         0         5         5         5         5         0
   6012502         2        44         3         3         2         5         8         8         8         6         6         7         5         6         4         8         1         0         5         5         5         5         0
   6012521         2        71         3         3         3         6         7         3         5         5         3         7         6         3         2         7         1         0         5         5         5         5         0
   6012522         2        84         3         3         3         6         8         4         4         7         3         4         8         8         8         8         1         1         5         5         5         5         0
   6012545         2        76         3         3         3         6         6         5         4        10         5         6         6         7         8         7         3         0         5         5         5         5         0
   6012561         2        37         5         3         2         6         7         7         9         9         7         8         8         5         3         8         5         0         5         5         5         5         0
   6012578         2        82         3         3         3         6         6         5         4         6         3         8         8         0         0        10         1         0         5         5         5         5         0
   6012588         2        76         3         3         3         6         7         6         7         7         6         5         6         5         3         8         1         0         5         5         5         5         0
   6012611         2        51         3         2         3         6         7         3         8         9         5         9         7         8         2         7         1         2         5         5         5         5         0
   6012627         2        81         3         3         3         6         9         8         8         9         7         7         8         4         0        10         1         0         5         5         5         5         0
   6012636         2        81         3         3         3         6        10         6        10        10        10         8        10         0         0         7         1         1         5         5         5         5         0
   6012700         2        34         5         3         3         6         9         7         8         8         7         8         8         2         1         8         2         0         5         5         5         5         0
   6012712         2        82         3         3         3         6        10         8         5         8         9        10        10         4         0        10         3         3         5         5         5         5         0
   6012713         2        73         3         3         3         6        10         8        10        10         8        10        10         8         0        10         1         2         5         5         5         5         0
   6012718         2        26         5         2         2         6        10        10         8        10         9        10         8         0         0        10         3         0         3         5         5         1         1
   6012722         2        59         3         3         3         6        10         9         7        10        10        10        10         0         0        10         1         0         1         5         5         1         1
   6012749         2        81         3         3         3         6        10         0         6         8         8         8         2         8         0        10         2         1         5         5         5         5         0
   6012757         2        81         3         3         3         6        10         6        10         9         9        10        10         0         0        10         1         0         5         5         5         5         0
